SuburbName,BusStops,Furniture,ResidentialPlaces,LowPlaces,HighPlaces,TransitionPlaces,TotalPlaces
Acton,22,69,0,0,0,0,0
Ainslie,34,44,108,0,0,0,108
Amaroo,15,34,0,0,0,0,0
Aranda,14,8,107,0,0,0,107
Banks,28,6,0,0,0,0,0
Barton,13,44,0,0,0,0,0
Belconnen,51,207,100,50,90,0,240
Belconnen (Rural Dist.),0,9,0,0,0,0,0
Bonner,7,42,0,0,0,0,0
Bonython,22,16,0,0,0,0,0
Booth (Rural Dist.),0,5,0,0,0,0,0
Braddon,29,25,0,0,0,0,0
Bruce,40,21,100,25,33,0,158
Calwell,30,13,0,0,0,0,0
Campbell,44,68,40,0,0,0,40
Canberra Airport,10,0,0,0,0,0,0
Canberra Central,2,0,0,0,0,0,0
Canberra Central (Rural Dist.),0,28,0,0,0,0,0
Capital Hill,5,0,0,0,0,0,0
Casey,12,62,0,0,0,0,0
Chapman,19,18,0,0,0,0,0
Charnwood,20,31,0,0,0,0,0
Chifley,14,15,0,0,0,0,0
Chisholm,41,28,0,0,0,0,0
City,28,471,0,0,0,58,58
Conder,28,18,0,0,0,0,0
Cook,14,26,0,0,0,0,0
Coombs,6,50,0,0,0,0,0
Coree (Rural Dist.),0,78,0,0,0,0,0
Cotter River (Rural Dist.),0,11,0,0,0,0,0
Crace,10,49,0,0,0,0,0
Curtin,27,53,112,0,0,0,112
Deakin,38,30,0,78,88,0,166
Denman Prospect,0,7,0,0,0,0,0
Dickson,16,57,0,0,0,0,0
Downer,17,12,0,0,0,0,0
Duffy,29,14,0,0,0,0,0
Dunlop,29,31,0,0,0,0,0
Evatt,36,20,0,0,0,0,0
Fadden,26,24,0,0,0,0,0
Farrer,14,10,64,162,70,0,296
Fisher,16,6,0,0,0,0,0
Florey,33,13,0,0,0,0,0
Flynn,22,5,0,0,0,0,0
Forde,14,66,0,0,0,0,0
Forrest,10,4,0,0,0,0,0
Franklin,19,53,0,0,0,0,0
Fraser,32,15,0,0,0,0,0
Fyshwick,44,20,0,11,11,0,22
Garran,28,19,70,0,0,0,70
Gilmore,19,8,0,0,0,0,0
Giralang,30,25,0,0,0,0,0
Googong (Rural Dist.),0,36,0,0,0,0,0
Gordon,38,45,0,0,0,0,0
Gowrie,21,15,0,0,0,0,0
Greenway,24,192,0,0,0,0,0
Griffith,24,101,0,0,0,0,0
Gungahlin,34,140,0,9,32,0,41
Gungahlin (Rural Dist.),0,6,0,0,0,0,0
Grand Total,0,0,2247,770,544,58,3619
Hackett,12,27,0,0,0,0,0
Hall,0,9,0,0,0,0,0
Harrison,28,50,0,0,0,0,0
Hawker,24,28,0,0,0,0,0
